Id,Prediction
1,6
2,7
3,9
4,9
5,9
6,0
7,8
8,0
9,4
10,5
11,9
12,4
13,6
14,4
15,1
16,6
17,8
18,9
19,0
20,4
21,0
22,9
23,7
24,5
25,8
26,5
27,4
28,9
29,4
30,6
31,4
32,6
33,0
34,3
35,5
36,9
37,9
38,5
39,7
40,3
41,8
42,1
43,8
44,4
45,6
46,0
47,8
48,8
49,0
50,4
51,3
52,0
53,9
54,7
55,6
56,9
57,8
58,6
59,9
60,7
61,7
62,4
63,1
64,3
65,7
66,9
67,0
68,9
69,6
70,5
71,5
72,4
73,1
74,9
75,2
76,1
77,5
78,6
79,8
80,6
81,4
82,0
83,0
84,7
85,3
86,1
87,1
88,8
89,4
90,0
91,8
92,0
93,2
94,1
95,8
96,2
97,9
98,1
99,1
100,4
101,6
102,4
103,0
104,5
105,5
106,1
107,8
108,0
109,2
110,5
111,6
112,5
113,9
114,5
115,5
116,3
117,1
118,1
119,4
120,4
121,2
122,9
123,1
124,7
125,6
126,3
127,4
128,8
129,1
130,6
131,0
132,4
133,8
134,7
135,6
136,4
137,0
138,0
139,0
140,6
141,4
142,4
143,5
144,2
145,0
146,3
147,9
148,6
149,7
150,1
151,5
152,9
153,3
154,2
155,5
156,1
157,9
158,7
159,6
160,8
161,8
162,7
163,2
164,2
165,5
166,5
167,5
168,8
169,4
170,4
171,4
172,3
173,9
174,1
175,2
176,7
177,9
178,9
179,8
180,7
181,9
182,6
183,7
184,6
185,1
186,1
187,5
188,9
189,5
190,0
191,8
192,8
193,4
194,1
195,4
196,2
197,4
198,1
199,4
200,4
201,8
202,6
203,1
204,0
205,3
206,5
207,0
208,2
209,3
210,0
211,8
212,0
213,8
214,1
215,1
216,8
217,9
218,6
219,7
220,1
221,6
222,9
223,1
224,9
225,8
226,0
227,5
228,6
229,5
230,4
231,6
232,3
233,2
234,5
235,2
236,6
237,4
238,3
239,6
240,3
241,0
242,9
243,8
244,6
245,3
246,2
247,6
248,8
249,7
250,2
251,2
252,7
253,8
254,3
255,3
256,4
257,1
258,7
259,3
260,5
261,8
262,1
263,4
264,9
265,9
266,9
267,3
268,1
269,9
270,0
271,2
272,9
273,7
274,5
275,2
276,0
277,1
278,2
279,0
280,1
281,3
282,6
283,0
284,3
285,0
286,3
287,7
288,5
289,5
290,8
291,1
292,8
293,0
294,1
295,6
296,4
297,6
298,6
299,1
300,7
301,1
302,7
303,7
304,6
305,4
306,8
307,6
308,9
309,1
310,6
311,0
312,3
313,2
314,4
315,0
316,0
317,9
318,4
319,8
320,7
321,9
322,0
323,2
324,9
325,6
326,0
327,0
328,2
329,2
330,8
331,4
332,9
333,1
334,3
335,6
336,0
337,4
338,4
339,7
340,8
341,8
342,4
343,7
344,2
345,5
346,5
347,6
348,7
349,1
350,7
351,6
352,4
353,1
354,6
355,2
356,7
357,5
358,8
359,9
360,9
361,6
362,6
363,6
364,2
365,7
366,4
367,1
368,6
369,6
370,8
371,2
372,6
373,6
374,5
375,8
376,0
377,0
378,6
379,1
380,6
381,5
382,3
383,1
384,5
385,2
386,9
387,0
388,6
389,7
390,8
391,0
392,4
393,8
394,2
395,5
396,2
397,5
398,7
399,3
400,8
401,8
402,2
403,7
404,1
405,6
406,1
407,9
408,4
409,6
410,2
411,8
412,3
413,1
414,0
415,2
416,6
417,2
418,1
419,9
420,9
421,8
422,0
423,7
424,2
425,1
426,6
427,7
428,7
429,6
430,6
431,5
432,0
433,1
434,1
435,0
436,8
437,6
438,1
439,5
440,5
441,2
442,6
443,8
444,2
445,4
446,9
447,7
448,7
449,7
450,7
451,5
452,8
453,2
454,4
455,6
456,6
457,1
458,3
459,2
460,7
461,0
462,9
463,7
464,6
465,3
466,8
467,6
468,5
469,2
470,2
471,9
472,9
473,7
474,7
475,1
